time,mean_G
1665,16.384
1666,16.414
1667,16.434
1668,16.442
1669,16.432
1670,16.456
1671,16.446
1672,16.436
1673,16.432
1674,16.452
1675,16.474
1676,16.51
1677,16.498
1678,16.486
1679,16.502
1680,16.502
1681,16.504
1682,16.522
1683,16.526
1684,16.542
1685,16.556
1686,16.556
1687,16.59
1688,16.55
1689,16.52
1690,16.52
1691,16.494
1692,16.538
1693,16.546
1694,16.576
1695,16.598
1696,16.63
1697,16.638
1698,16.666
1699,16.632
1700,16.624
1701,16.66
1702,16.644
1703,16.614
1704,16.612
1705,16.572
1706,16.548
1707,16.516
1708,16.512
1709,16.51
1710,16.496
1711,16.448
1712,16.444
1713,16.406
1714,16.418
1715,16.392
1716,16.398
1717,16.378
1718,16.42
1719,16.428
1720,16.444
1721,16.482
1722,16.492
1723,16.51
1724,16.512
1725,16.488
1726,16.506
1727,16.518
1728,16.554
1729,16.542
1730,16.558
1731,16.56
1732,16.558
1733,16.532
1734,16.56
1735,16.568
1736,16.564
1737,16.57
1738,16.552
1739,16.524
1740,16.482
1741,16.532
1742,16.53
1743,16.57
1744,16.578
1745,16.57
1746,16.548
1747,16.53
1748,16.548
1749,16.586
1750,16.604
1751,16.618
1752,16.598
1753,16.588
1754,16.582
1755,16.606
1756,16.62
1757,16.616
1758,16.64
1759,16.63
1760,16.608
1761,16.598
1762,16.618
1763,16.614
1764,16.592
1765,16.596
1766,16.586
1767,16.574
1768,16.544
1769,16.564
1770,16.556
1771,16.566
1772,16.566
1773,16.56
1774,16.564
1775,16.558
1776,16.534
1777,16.572
1778,16.55
1779,16.524
1780,16.526
1781,16.546
1782,16.518
1783,16.556
1784,16.534
1785,16.506
1786,16.476
1787,16.408
1788,16.44
1789,16.468
1790,16.458
1791,16.476
1792,16.486
1793,16.51
1794,16.48
1795,16.436
1796,16.45
1797,16.448
1798,16.42
1799,16.398
1800,16.37
1801,16.346
1802,16.308
1803,16.332
1804,16.344
1805,16.326
1806,16.35
1807,16.344
1808,16.336
1809,16.344
1810,16.324
1811,16.344
1812,16.37
1813,16.376
1814,16.368
1815,16.406
1816,16.432
1817,16.438
1818,16.444
1819,16.516
1820,16.506
1821,16.54
1822,16.514
1823,16.514
1824,16.534
1825,16.536
1826,16.516
1827,16.472
1828,16.488
1829,16.552
1830,16.528
1831,16.536
1832,16.544
1833,16.542
1834,16.528
1835,16.49
1836,16.492
1837,16.476
1838,16.482
1839,16.472
1840,16.464
1841,16.456
1842,16.47
1843,16.478
1844,16.492
1845,16.524
1846,16.568
1847,16.552
1848,16.57
1849,16.604
1850,16.56
1851,16.56
1852,16.566
1853,16.534
1854,16.512
1855,16.508
1856,16.526
1857,16.56
1858,16.53
1859,16.53
1860,16.568
1861,16.584
1862,16.564
1863,16.5
1864,16.468
1865,16.436
1866,16.394
1867,16.386
1868,16.38
1869,16.418
1870,16.4
1871,16.398
1872,16.418
1873,16.394
1874,16.392
1875,16.408
1876,16.418
1877,16.438
1878,16.458
1879,16.466
1880,16.468
1881,16.466
1882,16.494
1883,16.514
1884,16.51
1885,16.526
1886,16.522
1887,16.514
1888,16.522
1889,16.498
1890,16.5
1891,16.504
1892,16.49
1893,16.476
1894,16.522
1895,16.524
1896,16.508
1897,16.538
1898,16.558
1899,16.572
1900,16.558
1901,16.528
1902,16.52
1903,16.572
1904,16.582
1905,16.568
1906,16.538
1907,16.524
1908,16.512
1909,16.478
1910,16.446
1911,16.488
1912,16.498
1913,16.478
1914,16.468
1915,16.468
1916,16.454
1917,16.474
1918,16.484
1919,16.486
1920,16.49
1921,16.422
1922,16.46
1923,16.454
1924,16.5
1925,16.476
1926,16.486
1927,16.512
1928,16.542
1929,16.572
1930,16.55
1931,16.536
1932,16.542
1933,16.508
1934,16.508
1935,16.484
1936,16.448
1937,16.456
1938,16.434
1939,16.444
1940,16.458
1941,16.43
1942,16.434
1943,16.458
1944,16.454
1945,16.396
1946,16.344
1947,16.386
1948,16.374
1949,16.39
1950,16.418
1951,16.434
1952,16.488
1953,16.48
1954,16.46
1955,16.446
1956,16.424
1957,16.4
1958,16.394
1959,16.342
1960,16.366
1961,16.366
1962,16.388
1963,16.392
1964,16.372
1965,16.324
1966,16.328
