time,mean_G
1204,29.596
1205,29.586
1206,29.608
1207,29.592
1208,29.598
1209,29.588
1210,29.57
1211,29.582
1212,29.58
1213,29.592
1214,29.622
1215,29.614
1216,29.586
1217,29.592
1218,29.594
1219,29.584
1220,29.622
1221,29.524
1222,29.512
1223,29.484
1224,29.426
1225,29.44
1226,29.472
1227,29.484
1228,29.47
1229,29.494
1230,29.498
1231,29.47
1232,29.488
1233,29.508
1234,29.486
1235,29.49
1236,29.478
1237,29.516
1238,29.474
1239,29.494
1240,29.53
1241,29.514
1242,29.506
1243,29.46
1244,29.436
1245,29.408
1246,29.366
1247,29.33
1248,29.292
1249,29.3
1250,29.334
1251,29.206
1252,29.234
1253,29.216
1254,29.172
1255,29.136
1256,29.138
1257,29.134
1258,29.11
1259,29.152
1260,29.116
1261,29.108
1262,29.088
1263,29.0
1264,28.934
1265,28.996
1266,28.936
1267,28.946
1268,28.998
1269,28.978
1270,29.038
1271,29.052
1272,29.056
1273,29.04
1274,29.08
1275,29.146
1276,29.182
1277,29.224
1278,29.18
1279,29.126
1280,29.156
1281,29.15
1282,29.21
1283,29.314
1284,29.282
1285,29.308
1286,29.338
1287,29.252
1288,29.294
1289,29.21
1290,29.21
1291,29.242
1292,29.23
1293,29.252
1294,29.216
1295,29.214
1296,29.242
1297,29.236
1298,29.222
1299,29.236
1300,29.216
1301,29.2
1302,29.18
1303,29.136
1304,29.144
1305,29.084
1306,29.042
1307,29.1
1308,29.054
1309,29.036
1310,29.008
1311,28.998
1312,29.008
1313,28.994
1314,28.962
1315,28.948
1316,28.87
1317,28.844
1318,28.852
1319,28.902
1320,28.898
1321,28.876
1322,28.808
1323,28.798
1324,28.774
1325,28.8
1326,28.772
1327,28.776
1328,28.788
1329,28.784
1330,28.874
1331,28.924
1332,28.964
1333,28.952
1334,28.988
1335,29.02
1336,29.002
1337,29.006
1338,29.054
1339,29.058
1340,29.078
1341,29.066
1342,29.046
1343,29.146
1344,29.114
1345,29.114
1346,29.098
1347,29.048
1348,29.034
1349,29.028
1350,29.012
1351,28.98
1352,29.024
1353,28.98
1354,28.966
1355,29.012
1356,28.938
1357,28.87
1358,28.848
1359,28.868
1360,28.844
1361,28.81
1362,28.824
1363,28.804
1364,28.836
1365,28.802
1366,28.886
1367,28.908
1368,28.916
1369,28.962
1370,28.99
1371,28.992
1372,29.002
1373,29.036
1374,29.074
1375,29.056
1376,29.04
1377,29.054
1378,29.044
1379,29.058
1380,29.0
1381,29.058
1382,29.032
1383,29.066
1384,29.106
1385,29.142
1386,29.194
1387,29.22
1388,29.268
1389,29.24
1390,29.21
1391,29.294
1392,29.336
1393,29.3
1394,29.288
1395,29.33
1396,29.312
1397,29.32
1398,29.322
1399,29.294
1400,29.338
1401,29.314
1402,29.338
1403,29.35
1404,29.376
1405,29.44
1406,29.434
1407,29.408
1408,29.404
1409,29.346
1410,29.368
1411,29.378
1412,29.414
1413,29.406
1414,29.412
1415,29.306
1416,29.272
1417,29.292
1418,29.348
1419,29.314
1420,29.326
1421,29.318
1422,29.288
1423,29.242
1424,29.266
1425,29.27
1426,29.302
1427,29.346
1428,29.374
1429,29.332
1430,29.336
1431,29.328
1432,29.36
1433,29.336
1434,29.344
1435,29.292
1436,29.288
1437,29.252
1438,29.306
1439,29.268
1440,29.256
1441,29.156
1442,29.074
1443,29.036
1444,29.034
1445,29.04
1446,29.034
1447,29.04
1448,29.064
1449,29.08
1450,29.108
1451,29.18
1452,29.154
1453,29.168
1454,29.196
1455,29.228
1456,29.262
1457,29.254
1458,29.29
1459,29.284
1460,29.222
1461,29.262
1462,29.27
1463,29.29
1464,29.282
1465,29.29
1466,29.274
1467,29.302
1468,29.266
1469,29.27
1470,29.27
1471,29.236
1472,29.222
1473,29.204
1474,29.162
1475,29.098
1476,29.084
1477,29.112
1478,29.128
1479,29.064
1480,29.038
1481,29.048
1482,29.096
1483,29.098
1484,29.102
1485,29.142
1486,29.158
1487,29.216
1488,29.266
1489,29.314
1490,29.298
1491,29.332
1492,29.274
1493,29.238
1494,29.292
1495,29.246
1496,29.29
1497,29.274
1498,29.292
1499,29.334
1500,29.348
1501,29.378
1502,29.398
1503,29.42
1504,29.422
1505,29.392
1506,29.37
1507,29.34
1508,29.31
1509,29.318
1510,29.324
1511,29.298
1512,29.296
1513,29.28
1514,29.248
1515,29.208
1516,29.254
1517,29.246
1518,29.228
1519,29.254
1520,29.252
1521,29.3
1522,29.312
1523,29.284
1524,29.32
1525,29.276
1526,29.254
1527,29.26
1528,29.306
1529,29.296
1530,29.284
1531,29.29
1532,29.29
1533,29.326
1534,29.328
1535,29.34
1536,29.4
1537,29.386
1538,29.354
1539,29.408
1540,29.4
1541,29.408
1542,29.396
1543,29.38
1544,29.392
1545,29.432
1546,29.364
1547,29.338
1548,29.366
1549,29.34
1550,29.322
1551,29.332
1552,29.378
1553,29.378
1554,29.406
1555,29.4
1556,29.396
1557,29.428
1558,29.426
1559,29.376
1560,29.38
1561,29.374
1562,29.368
1563,29.32
1564,29.268
1565,29.284
1566,29.274
1567,29.264
1568,29.206
1569,29.24
1570,29.232
1571,29.252
1572,29.276
1573,29.27
1574,29.256
1575,29.182
1576,29.192
1577,29.136
1578,29.142
1579,29.138
1580,29.094
1581,29.064
1582,29.056
1583,29.096
1584,29.104
1585,29.088
1586,29.024
1587,29.02
1588,29.062
1589,29.054
1590,29.09
1591,29.104
1592,29.114
1593,29.136
1594,29.11
1595,29.11
1596,29.032
1597,28.964
1598,28.962
1599,29.034
1600,29.1
1601,29.126
1602,29.09
1603,29.094
1604,29.118
1605,29.046
1606,29.014
1607,29.026
1608,29.072
1609,29.11
1610,29.07
1611,29.114
1612,29.13
1613,29.134
1614,29.148
1615,29.172
1616,29.134
1617,29.138
1618,29.124
1619,29.128
1620,29.128
1621,29.182
1622,29.176
1623,29.154
1624,29.172
1625,29.164
1626,29.208
1627,29.248
1628,29.292
1629,29.316
1630,29.342
1631,29.35
1632,29.332
1633,29.308
1634,29.262
1635,29.232
1636,29.274
1637,29.25
1638,29.23
1639,29.192
1640,29.21
1641,29.224
1642,29.178
1643,29.158
1644,29.168
1645,29.162
1646,29.21
1647,29.272
1648,29.27
1649,29.29
1650,29.282
1651,29.294
1652,29.316
1653,29.278
1654,29.34
1655,29.378
1656,29.378
1657,29.386
1658,29.328
1659,29.354
1660,29.378
1661,29.414
1662,29.426
1663,29.402
1664,29.39
1665,29.378
1666,29.322
1667,29.336
1668,29.336
1669,29.368
1670,29.386
1671,29.326
1672,29.324
1673,29.344
1674,29.326
1675,29.356
1676,29.342
1677,29.362
1678,29.354
1679,29.398
